year,variable,census_label,race_label,is_hispanic
1980,"DFN006","Other Spanish: Other (Race N.E.C.)",NA,TRUE
1960,"B7B001","White","White",NA
1960,"B7B002","Negro","Black",NA
1960,"B7B003","Other races","Other",NA
1970,"CEB001","Male >> White","White",NA
1970,"CEB002","Male >> Negro","Black",NA
1970,"CEB003","Male >> Indian","Asian",NA
1970,"CEB004","Male >> Japanese","Asian",NA
1970,"CEB005","Male >> Chinese","Asian",NA
1970,"CEB006","Male >> Filipino","Pacific Islander",NA
1970,"CEB007","Male >> Hawaiian","Pacific Islander",NA
1970,"CEB008","Male >> Korean","Asian",NA
1970,"CEB009","Male >> Other","Other",NA
1970,"CEB010","Female >> White","White",NA
1970,"CEB011","Female >> Negro","Black",NA
1970,"CEB012","Female >> Indian","Asian",NA
1970,"CEB013","Female >> Japanese","Asian",NA
1970,"CEB014","Female >> Chinese","Asian",NA
1970,"CEB015","Female >> Filipino","Pacific Islander",NA
1970,"CEB016","Female >> Hawaiian","Pacific Islander",NA
1970,"CEB017","Female >> Korean","Asian",NA
1970,"CEB018","Female >> Other","Other",NA
1990,"ET2001","Not of Hispanic origin >> White","White",FALSE
1990,"ET2002","Not of Hispanic origin >> Black","Black",FALSE
1990,"ET2003","Not of Hispanic origin >> American Indian, Eskimo, or Aleut","Native American",FALSE
1990,"ET2004","Not of Hispanic origin >> Asian or Pacific Islander","Asian",FALSE
1990,"ET2005","Not of Hispanic origin >> Other race","Other",FALSE
1990,"ET2006","Hispanic origin >> White","White",TRUE
1990,"ET2007","Hispanic origin >> Black","Black",TRUE
1990,"ET2008","Hispanic origin >> American Indian, Eskimo, or Aleut","Native American",TRUE
1990,"ET2009","Hispanic origin >> Asian or Pacific Islander","Asian",TRUE
1990,"ET2010","Hispanic origin >> Other race","Other",TRUE
2000,"FMS001","Not Hispanic or Latino >> White alone","White",FALSE
2000,"FMS002","Not Hispanic or Latino >> Black or African American alone","Black",FALSE
2000,"FMS003","Not Hispanic or Latino >> American Indian and Alaska Native alone","Native American",FALSE
2000,"FMS004","Not Hispanic or Latino >> Asian alone","Asian",FALSE
2000,"FMS005","Not Hispanic or Latino >> Native Hawaiian and Other Pacific Islander alone","Pacific Islander",FALSE
2000,"FMS006","Not Hispanic or Latino >> Some other race alone","Other",FALSE
2000,"FMS007","Not Hispanic or Latino >> Two or more races","Other",FALSE
2000,"FMS008","Hispanic or Latino >> White alone","White",TRUE
2000,"FMS009","Hispanic or Latino >> Black or African American alone","Black",TRUE
2000,"FMS010","Hispanic or Latino >> American Indian and Alaska Native alone","Native American",TRUE
2000,"FMS011","Hispanic or Latino >> Asian alone","Asian",TRUE
2000,"FMS012","Hispanic or Latino >> Native Hawaiian and Other Pacific Islander alone","Pacific Islander",TRUE
2000,"FMS013","Hispanic or Latino >> Some other race alone","Other",TRUE
2000,"FMS014","Hispanic or Latino >> Two or more races","Other",TRUE
2020,"U7C002","Hispanic or Latino","Other",TRUE
2020,"U7C005","Not Hispanic or Latino: Population of one race: White alone","White",FALSE
2020,"U7C006","Not Hispanic or Latino: Population of one race: Black or African American alone","Black",FALSE
2020,"U7C007","Not Hispanic or Latino: Population of one race: American Indian and Alaska Native alone","Native American",FALSE
2020,"U7C008","Not Hispanic or Latino: Population of one race: Asian alone","Asian",FALSE
2020,"U7C009","Not Hispanic or Latino: Population of one race: Native Hawaiian and Other Pacific Islander alone","Pacific Islander",FALSE
2020,"U7C010","Not Hispanic or Latino: Population of one race: Some Other Race alone","Other",FALSE
2020,"U7C011","Not Hispanic or Latino: Population of two or more races","Other",FALSE
1920,"BBL001","Native white native parent","White",NA
1920,"BBL002","Native white foreign/mix parent","White",NA
1920,"BBL003","foreign born white","White",NA
1920,"BBL004","Negro","Black",NA
1920,"BBL005","Other races","Other",NA
1930,"BIQ001","White: Native white persons with native white","White","NA"
1930,"BIQ002","White: Native white persons with foreign born or mixed parents","White","NA"
1930,"BIQ003","White: Foreign born whites","White","NA"
1930,"BIQ004","Negro","Black","NA"
1930,"BIQ005","Other races","Other","NA"
1940,"BUQ001","White","White",NA
1940,"BUQ002","Nonwhite","Other",NA
1950,"B0J001","White","White",NA
1950,"B0J002","Negro","Black",NA
1950,"B0J003","Other nonwhite","Other",NA
